run_id,week,signal_tf,config,entry_time,dir,entry,sl_initial,tp1,tp2,tp3,exit_time,exit_reason,lots,pnl,spread_cost,tp1_hit,tp2_hit
2026-07-06_to_2026-07-12__H1__v1.11_baseline,2026-07-06_to_2026-07-12,H1,v1.11_baseline,2026-07-06 02:00:00,SELL,4173.984,4155.5225008421385,4156.253176636262,4138.522353272523,4120.7915299087845,2026-07-06 16:54:00,sl,0.01,18.22149915786191,0.24,False,False
2026-07-06_to_2026-07-12__H1__v1.11_baseline,2026-07-06_to_2026-07-12,H1,v1.11_baseline,2026-07-06 17:00:00,BUY,4161.091,4147.444288818197,4177.350430721618,4193.609861443236,4209.8692921648535,2026-07-07 00:59:00,sl,0.01,-13.886711181803769,0.24,False,False
2026-07-06_to_2026-07-12__H1__v1.11_baseline,2026-07-06_to_2026-07-12,H1,v1.11_baseline,2026-07-07 02:00:00,SELL,4136.631,4140.005318525315,4122.248623870896,4107.866247741792,4093.483871612688,2026-07-07 11:18:00,sl,0.01,-3.614318525314266,0.24,False,False
2026-07-06_to_2026-07-12__H1__v1.11_baseline,2026-07-06_to_2026-07-12,H1,v1.11_baseline,2026-07-07 12:00:00,BUY,4172.052,4156.88784067987,4187.216159320129,4202.380318640258,4217.544477960388,2026-07-07 12:01:00,sl,0.01,-15.404159320129333,0.24,False,False
2026-07-06_to_2026-07-12__H1__v1.11_baseline,2026-07-06_to_2026-07-12,H1,v1.11_baseline,2026-07-07 13:00:00,SELL,4158.669,4174.505790797262,4142.832209202737,4126.995418405474,4111.158627608212,2026-07-07 13:36:00,sl,0.01,-16.076790797262436,0.24,False,False
2026-07-06_to_2026-07-12__H1__v1.11_baseline,2026-07-06_to_2026-07-12,H1,v1.11_baseline,2026-07-07 15:00:00,SELL,4138.925,4155.341487983354,4122.508512016646,4106.092024033292,4089.675536049938,2026-07-07 15:08:00,sl,0.01,-16.65648798335427,0.24,False,False
2026-07-06_to_2026-07-12__H1__v1.11_baseline,2026-07-06_to_2026-07-12,H1,v1.11_baseline,2026-07-07 16:00:00,BUY,4144.948,4128.961618301171,4160.934381698829,4176.920763397658,4192.907145096487,2026-07-07 18:51:00,sl,0.01,-16.226381698829062,0.24,False,False
2026-07-06_to_2026-07-12__H1__v1.12_fixed,2026-07-06_to_2026-07-12,H1,v1.12_fixed,2026-07-06 02:00:00,SELL,4173.984,4156.253176636262,4156.253176636262,4138.522353272523,4120.7915299087845,2026-07-06 05:04:00,sl,0.01,17.490823363738638,0.24,True,False
2026-07-06_to_2026-07-12__H1__v1.12_fixed,2026-07-06_to_2026-07-12,H1,v1.12_fixed,2026-07-06 07:00:00,BUY,4164.518,4147.597525785029,4181.438474214971,4198.358948429942,4215.279422644913,2026-07-06 07:11:00,sl,0.01,-17.160474214971362,0.24,False,False
2026-07-06_to_2026-07-12__H1__v1.12_fixed,2026-07-06_to_2026-07-12,H1,v1.12_fixed,2026-07-06 08:00:00,SELL,4150.503,4133.419631086098,4133.419631086098,4116.336262172196,4099.252893258295,2026-07-06 12:43:00,sl,0.01,16.843368913901724,0.24,True,False
