hour,trades,wins,net,win_rate
0,36,7,-194.39943818913247,19.444444444444446
1,27,9,-126.98626623920407,33.33333333333333
2,22,12,49.9935593472228,54.54545454545454
3,15,6,-43.43595836113647,40.0
4,8,5,16.302486545980187,62.5
5,15,7,-12.52462537667661,46.666666666666664
6,15,5,-46.41963789426904,33.33333333333333
7,15,3,-96.46469602488038,20.0
8,16,7,-14.140342180998248,43.75
9,13,6,7.515593523735626,46.15384615384615
10,9,4,-0.5602527996836777,44.44444444444444
11,8,3,-19.13405357023472,37.5
12,20,7,-76.6832164226507,35.0
13,12,1,-117.50365078930739,8.333333333333332
14,17,4,-119.43133106997877,23.52941176470588
15,14,5,-40.610245389898395,35.714285714285715
16,10,3,-61.30137656402799,30.0
17,5,2,-3.6473725391917835,40.0
18,9,3,-17.092104244778238,33.33333333333333
19,6,3,12.198078884946371,50.0
20,4,0,-51.11211938231643,0.0
22,1,1,6.0208208572687365,100.0
23,5,5,38.4944353116564,100.0
