trades,wins,losses,win_rate,net,pf,max_dd_pct,avg_win,avg_loss,max_win,max_loss,max_consec_wins,max_consec_losses,end_eq,run_id,week,signal_tf,status
75,25,50,33.33333333333333,-50.91999999999999,0.8683148856935967,71.66049898531695,13.430399999999999,-7.7336,44.3,-18.02,4,10,47.48,2026-06-22_to_2026-06-28__M15,2026-06-22_to_2026-06-28,M15,OK
4,0,4,0.0,-56.99,0.0,50.5632183908046,0.0,-14.2475,0.0,-14.7,0,4,43.01,2026-06-22_to_2026-06-28__M30,2026-06-22_to_2026-06-28,M30,OK
10,4,6,40.0,-54.32999999999999,0.42936666316563377,48.43044263775971,10.219999999999999,-15.868333333333334,25.75,-22.75,2,2,45.67,2026-06-22_to_2026-06-28__H1,2026-06-22_to_2026-06-28,H1,OK
10,2,8,20.0,-52.71,0.13234567901234567,52.26125580456289,4.02,-7.59375,5.39,-11.73,1,4,47.29,2026-06-29_to_2026-07-05__M15,2026-06-29_to_2026-07-05,M15,OK
43,17,26,39.53488372093023,90.06,1.3585476550680786,45.18458527367213,20.07294117647059,-9.660769230769231,50.01,-20.26,3,6,189.0,2026-06-29_to_2026-07-05__M30,2026-06-29_to_2026-07-05,M30,OK
4,0,4,0.0,-61.25,0.0,59.26198486122792,0.0,-15.3125,0.0,-19.74,0,4,38.75,2026-06-29_to_2026-07-05__H1,2026-06-29_to_2026-07-05,H1,OK
91,33,58,36.26373626373626,58.54000000000001,1.1521903028727414,59.75339633786179,13.429999999999998,-6.631896551724138,51.29,-19.26,4,8,155.35,2026-07-13_to_2026-07-19__M15,2026-07-13_to_2026-07-19,M15,OK
46,17,29,36.95652173913043,4.519999999999996,1.0191152837689248,44.44444444444445,14.175294117647057,-8.153793103448276,53.97,-17.37,4,8,102.92,2026-07-13_to_2026-07-19__M30,2026-07-13_to_2026-07-19,M30,OK
23,9,14,39.130434782608695,-21.50000000000001,0.8788937081056722,64.51399457420763,17.336666666666666,-12.680714285714286,51.08,-19.18,2,4,76.9,2026-07-13_to_2026-07-19__H1,2026-07-13_to_2026-07-19,H1,OK
84,40,44,47.61904761904761,122.33000000000001,1.5097932988831475,28.34133936140153,9.05725,-5.453636363636363,31.53,-15.25,11,4,219.67,2026-07-27_to_2026-08-02__M15,2026-07-27_to_2026-08-02,M15,OK
40,18,22,45.0,170.24,2.082745023214399,26.37119113573407,18.192777777777778,-7.146818181818182,60.27,-15.82,3,4,267.58,2026-07-27_to_2026-08-02__M30,2026-07-27_to_2026-08-02,M30,OK
18,6,12,33.33333333333333,-53.65,0.6441127694859038,67.56541277089222,16.183333333333334,-12.5625,34.58,-28.77,2,3,44.75,2026-07-27_to_2026-08-02__H1,2026-07-27_to_2026-08-02,H1,OK
14,3,11,21.428571428571427,-52.21,0.24996408561988223,49.42321938829505,5.800000000000001,-6.328181818181818,11.63,-7.83,2,6,47.79,2026-08-17_to_2026-08-23__M15,2026-08-17_to_2026-08-23,M15,OK
12,4,8,33.33333333333333,-49.86,0.2762374800406446,46.02328364704602,4.7575,-8.611249999999998,8.05,-11.36,2,3,49.61,2026-08-17_to_2026-08-23__M30,2026-08-17_to_2026-08-23,M30,OK
7,1,6,14.285714285714285,-63.809999999999995,0.07374074611699813,58.01248086659603,5.08,-11.481666666666664,5.08,-17.43,1,4,35.66,2026-08-17_to_2026-08-23__H1,2026-08-17_to_2026-08-23,H1,OK
